chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) 1,49,18,24,0,switzerland_2015_ArmamentProgram_noneng.md,2025-01-28 18:58:02
2,# # 1 e m m,11,6,8,1,switzerland_2015_ArmamentProgram_noneng.md,2025-01-28 18:58:02
3,# # a r g o r! [ 0 _ image _ 2. png ] ( 0 _ image _ 2. png )! [ 0 _ image _ 3. png ] ( 0 _ image _ 3. png )! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) le programme d ' armement 2015,185,61,79,2,switzerland_2015_ArmamentProgram_noneng.md,2025-01-28 18:58:02
4,# vue d ' ensemble 4 le programme d ' armement 2015 * * conduite * * | 6 | systeme de drones de reconnaissance 15 | 250 mio. fr. | | - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,308,120,130,3,switzerland_2015_ArmamentProgram_noneng.md,2025-01-28 18:58:02
5,- - - - - | - - - - - - - - - - - - - - - - | | ( ads 15 ) | | | | | efficacite a l ' engagement | | | 8 | simulateur de tir de nouvelle technologie pour le fusil d ' assaut 90 | 21 mio. fr. | | ( sim tir fass 90 nt ) | | | | 10 | vehicule leger tout - terrain pour systemes techniques | 271 mio. fr. | | | ( vhc l tt syst tech ) | | | | total | 542,349,104,130,3,switzerland_2015_ArmamentProgram_noneng.md,2025-01-28 18:58:02
6,mio. fr. | * * mobilite * *,27,8,15,3,switzerland_2015_ArmamentProgram_noneng.md,2025-01-28 18:58:02
7,"# le programme d ' armement 2015 avec le programme d ' armement 2015, le conseil federal demande au parlement l ' acquisition, pour un montant total de 542 millions de francs, d ' armements necessaires sur le plan militaire et dont l ' achat est possible dans le cadre financier impose. le conseil federal a l ' intention, avec les projets ci - apres, de remplacer trois systemes arrivant prochainement au terme de leur duree d ' utilisation. le",445,80,130,4,switzerland_2015_ArmamentProgram_noneng.md,2025-01-28 18:58:02
8,"systeme de drones de reconnaissance 15 ( ads 15 ) est destine a remplacer le systeme de drones de reconnaissance 95 : le systeme actuel, en effet, est en service depuis une vingtaine d ' annees et s ' appuie sur un niveau technologique qui date des annees 1980. le simulateur de tir de nouvelle technologie pour le fusil d ' assaut 90 ( sim tir fass 90 nt ) doit permettre d ' enseigner la technique de combat dans des conditions proches de la realite.",452,86,130,4,switzerland_2015_ArmamentProgram_noneng.md,2025-01-28 18:58:02
9,"enfin, le vehicule leger tout - terrain pour systemes techniques ( vhc l tt syst tech ), realise sur la base du mercedes - benz g 300 cdi 4×4, est destine a remplacer le steyr - daimler - puch 230 ge qui atteint la fin de sa duree d ' utilisation. l ' * * ads 15 * * permettra de sauvegarder, apres la reforme du systeme de drones de reconnaissance 95, la capacite d ' exploration pour apprehender l ' image de la situation et rec",430,87,130,4,switzerland_2015_ArmamentProgram_noneng.md,2025-01-28 18:58:02
10,"##onnaitre les objectifs. la reconnaissance de la situation est un instrument de soutien aux organes de conduite militaires et civils appeles a prendre des decisions, tandis que la reconnaissance des objectifs sert a la conduite de l ' appui de feu en cas de defense contre une attaque par un adversaire arme. sim tir fass 90 nt vhc l tt syst tech! [ 4 _ image _ 0. png ] ( 4 _ image _ 0. png )! [ 4 _ image _ 1. p",414,85,132,4,switzerland_2015_ArmamentProgram_noneng.md,2025-01-28 18:58:02
