chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,the armed forces of malta strategy paper 2016 - 2026! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) press brief! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png )! [ 0 _ image _ 2. png ] ( 0 _ image _ 2. png ) april 2017 what does this document set out to achieve? this strategy paper is a document that outlines the policy direction for the armed forces of malta. it follows on from the 1996 white paper issued by government to provide a formal setting for the development of malta ' s,482,110,130,0,malta_2017_StrategyPaper.md,2025-01-28 18:57:06
2,"military capabilities and, in doing so, attempts to provide continuity for this important national institution. it is not a tactical publication in that it does not describe or proscribe the detailed activities that the force intends to or shall be prepared to undertake in the coming years. instead, it lays out the general expectations of government as to what objectives the military instrument of power should be able to achieve and lays out a framework for generating the capabilities to achieve these goals. this document sets the context within which the military shall be expected to operate, analyses the threats, vulnerabilities and risks that our nation currently faces or can be expected to face and defines",719,116,130,0,malta_2017_StrategyPaper.md,2025-01-28 18:57:06
3,"the national, european and international obligations that the force is expected to be able to meet. this keystone publication is intended to serve the next generations of military leaders and decision makers as the basis for taking decisions at the strategic, operational and tactical levels and to ensure that all such decisions are taken within a single coherent framework that supports achieving the specified strategic objectives. who participated in the drafting of this document? this strategy paper was drafted through a coordinated effort between the ministry for home affairs and national security ( mhas ) and the armed forces of malta ( afm ). each of these partners brought their own unique perspective to the process.! [ 1",735,118,130,0,malta_2017_StrategyPaper.md,2025-01-28 18:57:06
4,"_ image _ 1. png ] ( 1 _ image _ 1. png ) as the political entity responsible for the afm, mhas! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png ) provided input regarding the policy direction that government intends to take and the political perspective within which the afm is expected to operate. as in any democratic system, the military serving our nation answers to civilian leadership and works to fulfil policy goals set by government. the ministry has thus set the wider strategic priorities in which it perceives that the afm has a contribution to make to national",570,108,130,0,malta_2017_StrategyPaper.md,2025-01-28 18:57:06
5,"policy. based upon the priorities set by government, the afm has worked to conduct a robust analysis of the strategic environment, identified the threats, vulnerabilities and resultant risks to our nation and detailed the current force structure available to face these challenges. subsequently the afm has set out a vision for the future of the force, a future that seeks to address the concerns of government. what is the timeframe addressed by this paper? initially issued in september 2016, the considerations of this strategy paper cover the 10 - year period between 2016 and 2026. the limitations of attempting to plan for a decade in the current fluid security environment are",683,111,130,0,malta_2017_StrategyPaper.md,2025-01-28 18:57:06
6,"recognised and accepted. however, the nature of the military institution, for example the time needed to design, generate and implement new military capabilities, requires that this medium to long term perspective be held throughout the considerations. afm strategy paper - press brief that is not to say that no consideration has been given to the inherent degree of uncertainty being faced. this is a living document that shall be subjected to continuous review and revision. its purpose is to serve as a baseline from which future change and modification can be leveraged rather than as a definitive and prescriptive script for all future activities. where will the impact of this document be felt? this",706,114,130,0,malta_2017_StrategyPaper.md,2025-01-28 18:57:06
7,"document is intended to shape every facet of the business of the afm, from financing to procurement, from human resource management to operational planning. this vision is designed to serve as the focus of every action implemented within the afm to guarantee a coherent implementation of policies and strategies that contribute to national goals. at a political level, this document is intended to contextualise the role of the afm in achieving national policy goals. it provides policy makers with a clear framework within which to employ the various capabilities of the military in the widest possible range of operational activities. it serves to highlight the fact that, while designed to succeed in conflict",712,113,130,0,malta_2017_StrategyPaper.md,2025-01-28 18:57:06
8,", the afm brings a number of other capabilities to the table that are of increasing relevance in today ' s security environment, an environment typified by a lack of clear definitions and an increased blurring between states, nonstate actors, international and non - governmental organisations and an increasingly - influential private sector. how is this document structured for success? solving any problem first requires that the problem is accurately defined and a considerable amount of this strategy paper is devoted to analysing and defining the wider security environment, the specific threats, vulnerabilities and risks that are currently faced or are likely to face in the future. this is",698,109,130,0,malta_2017_StrategyPaper.md,2025-01-28 18:57:06
9,"followed by a factual analysis of the tools that the afm currently brings to the table in the form of resources, both technical and human. an objective consideration of the current strengths and weaknesses of the force, the constraints and restraints within which the force operates and the impact of internal and external influences and commitments has been conducted to provide a! [ 2 _ image _ 0. png ] ( 2 _ image _ 0. png ) clear picture of the here and now. this has been supplemented by a detailed consideration of the roles and missions currently assigned to the force. the results of this process are two key statements that embody the way",648,116,130,0,malta_2017_StrategyPaper.md,2025-01-28 18:57:06
10,"forward for the force. the first is the mission statement, a statement that outlines the strategic objective that the force shall be designed to achieve. mission statement of the armed forces of malta to protect the territorial integrity of the republic of malta, the security of its citizens, contribute towards international peace and stability and carry out any other task assigned by the government. transforming this objective into concrete results requires a vision that provides the way forward and contextualises the efforts of government and the afm. afm strategy paper - press brief vision statement of the armed forces of malta to continue working to develop a modern, disciplined, motivated and well trained professional force",738,115,130,0,malta_2017_StrategyPaper.md,2025-01-28 18:57:06
